"Station","Date","Time","Interval","Air max","Air max time","Air min","Air min time","Air obs","Air avg","Air2 max","Air2 max time","Air2 min","Air2 min time","Air2 obs","Air2 avg","Air3 max","Air3 max time","Air3 min","Air3 min time","Air3 obs","Air3 avg","RH max","RH max time","RH min","RH min time","RH avg","RH2 max","RH2 max time","RH2 min","RH2 min time","RH2 avg","RH3 max","RH3 max time","RH3 min","RH3 min time","RH3 avg","Soil max","Soil max time","Soil min","Soil min time","Soil obs","Soil avg","Precip","ETo","Solar","Leaf","Leaf2","Leaf3","Wind max dir","Wind max speed","Wind max time","Wind obs dir","Wind obs speed","Wind avg dir","Wind avg speed","Wind ST","Wind run","Battery","Dew pnt","Chill hrs","Hrs 26F","Hrs 28F","Hrs 32F","DD41F","DD41F2","DD41F3","TC DSV","TC DSV2","TC DSV3","HR65TO75FA90RH","HR65TO75FA90RH2","HR65TO75FA90RH3","BEEHOURS","BEESEASON"
Nickels_Soils_Lab.P,20160117,2400,1440,55,20:54,50,00:11, ,53, , , , , , , , , , , , ,94, ,88, ,92, , , , , , , , , , , , , , , , ,0.28,0.02,34, , , ,156,27,21:31, , , , , , , ,50, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160118,2400,1440,61,12:22,52,08:46, ,55, , , , , , , , , , , , ,94, ,67, ,85, , , , , , , , , , , , , , , , ,0.21,0.05,158, , , ,185,18,01:03, , , , , , , ,51, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160119,2400,1440,67,14:06,47,23:25, ,55, , , , , , , , , , , , ,93, ,45, ,79, , , , , , , , , , , , , , , , ,0.66,0.06,185, , , ,171,39,08:29, , , , , , , ,48, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160120,2400,1440,59,13:36,43,05:46, ,50, , , , , , , , , , , , ,91, ,62, ,82, , , , , , , , , , , , , , , , ,0.00,0.05,210, , , ,352,12,13:04, , , , , , , ,44, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160121,2400,1440,57,12:58,46,01:16, ,51, , , , , , , , , , , , ,92, ,71, ,84, , , , , , , , , , , , , , , , ,0.00,0.03,106, , , ,144,13,14:37, , , , , , , ,47, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160122,2400,1440,54,10:23,51,00:07, ,53, , , , , , , , , , , , ,93, ,69, ,90, , , , , , , , , , , , , , , , ,0.42,0.02,58, , , ,147,25,16:22, , , , , , , ,50, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160123,2400,1440,61,15:10,43,23:55, ,54, , , , , , , , , , , , ,86, ,47, ,67, , , , , , , , , , , , , , , , ,0.00,0.08,228, , , ,178,26,02:12, , , , , , , ,42, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160124,2400,1440,57,15:58,39,04:00, ,48, , , , , , , , , , , , ,92, ,61, ,80, , , , , , , , , , , , , , , , ,0.03,0.05,244, , , ,34,10,13:37, , , , , , , ,42, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160125,2400,1440,61,15:30,47,07:31, ,52, , , , , , , , , , , , ,93, ,53, ,76, , , , , , , , , , , , , , , , ,0.01,0.07,284, , , ,352,13,10:35, , , , , , , ,44, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160126,2400,1440,56,13:24,40,07:11, ,47, , , , , , , , , , , , ,92, ,63, ,80, , , , , , , , , , , , , , , , ,0.00,0.05,262, , , ,0,10,03:17, , , , , , , ,41, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160127,2400,1440,66,15:14,44,06:26, ,52, , , , , , , , , , , , ,89, ,38, ,70, , , , , , , , , , , , , , , , ,0.00,0.07,294, , , ,308,14,12:19, , , , , , , ,42, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160128,2400,1440,54,15:37,42,04:38, ,49, , , , , , , , , , , , ,93, ,76, ,87, , , , , , , , , , , , , , , , ,0.01,0.02,88, , , ,118,13,12:37, , , , , , , ,45, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160129,2400,1440,59,15:20,50,00:48, ,54, , , , , , , , , , , , ,93, ,63, ,86, , , , , , , , , , , , , , , , ,0.15,0.03,82, , , ,184,27,11:48, , , , , , , ,50, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160130,2400,1440,60,15:03,46,06:23, ,52, , , , , , , , , , , , ,88, ,40, ,66, , , , , , , , , , , , , , , , ,0.02,0.07,277, , , ,352,11,10:41, , , , , , , ,40, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160131,2400,1440,56,14:20,42,07:56, ,48, , , , , , , , , , , , ,76, ,26, ,49, , , , , , , , , , , , , , , , ,0.00,0.11,299, , , ,9,36,15:55, , , , , , , ,29, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160201,2400,1440,56,15:22,38,06:59, ,46, , , , , , , , , , , , ,77, ,26, ,46, , , , , , , , , , , , , , , , ,0.00,0.10,315, , , ,335,27,10:15, , , , , , , ,25, ,0.0,0.0,0.0, , , , , , , , , ,0.4, ,
Nickels_Soils_Lab.P,20160202,2400,1440,48,14:30,37,23:49, ,43, , , , , , , , , , , , ,88, ,59, ,76, , , , , , , , , , , , , , , , ,0.00,0.04,173, , , ,169,15,07:02, , , , , , , ,36, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160203,2400,1440,50,12:44,35,03:18, ,43, , , , , , , , , , , , ,92, ,59, ,81, , , , , , , , , , , , , , , , ,0.02,0.04,162, , , ,120,12,16:33, , , , , , , ,38, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160204,2400,1440,58,16:22,42,06:13, ,48, , , , , , , , , , , , ,92, ,48, ,75, , , , , , , , , , , , , , , , ,0.01,0.07,287, , , ,348,22,11:26, , , , , , , ,39, ,0.0,0.0,0.0, , , , , , , , , ,4.0, ,
Nickels_Soils_Lab.P,20160205,2400,1440,59,14:19,35,07:16, ,47, , , , , , , , , , , , ,89, ,47, ,73, , , , , , , , , , , , , , , , ,0.00,0.06,298, , , ,306,12,11:00, , , , , , , ,38, ,0.0,0.0,0.0, , , , , , , , , ,4.9, ,
Nickels_Soils_Lab.P,20160206,2400,1440,63,16:56,40,04:18, ,52, , , , , , , , , , , , ,91, ,36, ,66, , , , , , , , , , , , , , , , ,0.00,0.08,270, , , ,333,11,14:10, , , , , , , ,40, ,0.0,0.0,0.0, , , , , , , , , ,8.0, ,
Nickels_Soils_Lab.P,20160207,2400,1440,77,15:00,51,01:12, ,63, , , , , , , , , , , , ,67, ,28, ,49, , , , , , , , , , , , , , , , ,0.00,0.16,330, , , ,340,27,12:24, , , , , , , ,42, ,0.0,0.0,0.0, , , , , , , , , ,7.2, ,
Nickels_Soils_Lab.P,20160208,2400,1440,79,15:16,46,23:59, ,64, , , , , , , , , , , , ,81, ,19, ,43, , , , , , , , , , , , , , , , ,0.00,0.15,348, , , ,337,21,09:43, , , , , , , ,39, ,0.0,0.0,0.0, , , , , , , , , ,9.8, ,
Nickels_Soils_Lab.P,20160209,2400,1440,73,15:13,44,06:24, ,57, , , , , , , , , , , , ,89, ,26, ,61, , , , , , , , , , , , , , , , ,0.00,0.10,305, , , ,345,12,09:25, , , , , , , ,42, ,0.0,0.0,0.0, , , , , , , , , ,9.0, ,
Nickels_Soils_Lab.P,20160210,2400,1440,70,13:46,44,06:33, ,57, , , , , , , , , , , , ,84, ,35, ,61, , , , , , , , , , , , , , , , ,0.00,0.09,268, , , ,354,12,13:51, , , , , , , ,43, ,0.0,0.0,0.0, , , , , , , , , ,8.3, ,
Nickels_Soils_Lab.P,20160211,2400,1440,70,14:38,45,06:46, ,57, , , , , , , , , , , , ,89, ,39, ,69, , , , , , , , , , , , , , , , ,0.00,0.08,289, , , ,245,7,22:04, , , , , , , ,46, ,0.0,0.0,0.0, , , , , , , , , ,7.9, ,
Nickels_Soils_Lab.P,20160212,2400,1440,71,14:54,47,06:21, ,57, , , , , , , , , , , , ,89, ,42, ,72, , , , , , , , , , , , , , , , ,0.00,0.08,312, , , ,333,11,10:19, , , , , , , ,47, ,0.0,0.0,0.0, , , , , , , , , ,9.0, ,
Nickels_Soils_Lab.P,20160213,2400,1440,75,15:09,47,07:17, ,59, , , , , , , , , , , , ,89, ,23, ,55, , , , , , , , , , , , , , , , ,0.00,0.12,360, , , ,337,15,12:15, , , , , , , ,41, ,0.0,0.0,0.0, , , , , , , , , ,9.1, ,
Nickels_Soils_Lab.P,20160214,2400,1440,76,16:25,49,03:10, ,63, , , , , , , , , , , , ,77, ,33, ,54, , , , , , , , , , , , , , , , ,0.00,0.12,294, , , ,354,24,15:43, , , , , , , ,45, ,0.0,0.0,0.0, , , , , , , , , ,8.6, ,
Nickels_Soils_Lab.P,20160215,2400,1440, , , , , ,67, , , , , , , , , , , , ,63, ,19, ,45, , , , , , , , , , , , , , , , ,0.00,0.16,371, , , ,326,25,10:57, , , , , , , ,43, ,0.0,0.0,0.0, , , , , , , , , ,9.5, ,
Nickels_Soils_Lab.P,20160216,2400,1440,76,15:12,46,07:03, ,60, , , , , , , , , , , , ,86, ,30, ,65, , , , , , , , , , , , , , , , ,0.00,0.11,364, , , ,3,11,15:42, , , , , , , ,46, ,0.0,0.0,0.0, , , , , , , , , ,9.2, ,
Nickels_Soils_Lab.P,20160217,2400,1440,67,12:18,46,21:11, ,57, , , , , , , , , , , , ,90, ,34, ,71, , , , , , , , , , , , , , , , ,0.33,0.09,189, , , ,221,40,13:58, , , , , , , ,47, ,0.0,0.0,0.0, , , , , , , , , ,6.4, ,
Nickels_Soils_Lab.P,20160218,2400,1440,60,13:39,45,07:06, ,52, , , , , , , , , , , , ,88, ,50, ,72, , , , , , , , , , , , , , , , ,0.13,0.08,279, , , ,194,25,12:58, , , , , , , ,43, ,0.0,0.0,0.0, , , , , , , , , ,5.7, ,
Nickels_Soils_Lab.P,20160219,2400,1440,55,11:40,43,06:50, ,49, , , , , , , , , , , , ,89, ,63, ,78, , , , , , , , , , , , , , , , ,0.06,0.04,140, , , ,161,27,10:29, , , , , , , ,42, ,0.0,0.0,0.0, , , , , , , , , ,0.1, ,
Nickels_Soils_Lab.P,20160220,2400,1440,63,15:56,41,01:40, ,50, , , , , , , , , , , , ,87, ,34, ,66, , , , , , , , , , , , , , , , ,0.00,0.08,311, , , ,331,19,10:57, , , , , , , ,38, ,0.0,0.0,0.0, , , , , , , , , ,6.5, ,
Nickels_Soils_Lab.P,20160221,2400,1440,66,15:46,39,06:52, ,51, , , , , , , , , , , , ,88, ,40, ,70, , , , , , , , , , , , , , , , ,0.00,0.10,396, , , ,1,13,12:11, , , , , , , ,41, ,0.0,0.0,0.0, , , , , , , , , ,7.5, ,
Nickels_Soils_Lab.P,20160222,2400,1440,71,15:30,43,06:52, ,55, , , , , , , , , , , , ,86, ,16, ,53, , , , , , , , , , , , , , , , ,0.00,0.14,410, , , ,351,21,09:55, , , , , , , ,36, ,0.0,0.0,0.0, , , , , , , , , ,8.9, ,
Nickels_Soils_Lab.P,20160223,2400,1440,70,15:33,40,06:21, ,55, , , , , , , , , , , , ,82, ,22, ,48, , , , , , , , , , , , , , , , ,0.00,0.13,401, , , ,330,16,01:18, , , , , , , ,33, ,0.0,0.0,0.0, , , , , , , , , ,9.2, ,
Nickels_Soils_Lab.P,20160224,2400,1440,71,16:17,41,06:07, ,55, , , , , , , , , , , , ,87, ,33, ,63, , , , , , , , , , , , , , , , ,0.00,0.10,385, , , ,331,11,09:11, , , , , , , ,41, ,0.0,0.0,0.0, , , , , , , , , ,9.0, ,
Nickels_Soils_Lab.P,20160225,2400,1440,74,16:07,45,06:53, ,57, , , , , , , , , , , , ,86, ,23, ,64, , , , , , , , , , , , , , , , ,0.00,0.10,362, , , ,325,11,10:25, , , , , , , ,43, ,0.0,0.0,0.0, , , , , , , , , ,9.5, ,
Nickels_Soils_Lab.P,20160226,2400,1440,72,15:42,46,06:39, ,58, , , , , , , , , , , , ,89, ,34, ,68, , , , , , , , , , , , , , , , ,0.00,0.10,307, , , ,261,27,22:17, , , , , , , ,47, ,0.0,0.0,0.0, , , , , , , , , ,8.8, ,
Nickels_Soils_Lab.P,20160227,2400,1440,65,16:01,47,05:14, ,55, , , , , , , , , , , , ,90, ,41, ,70, , , , , , , , , , , , , , , , ,0.00,0.07,257, , , ,244,22,00:48, , , , , , , ,45, ,0.0,0.0,0.0, , , , , , , , , ,9.0, ,
Nickels_Soils_Lab.P,20160228,2400,1440,66,14:38,44,03:36, ,54, , , , , , , , , , , , ,91, ,47, ,74, , , , , , , , , , , , , , , , ,0.00,0.08,318, , , ,317,8,10:37, , , , , , , ,45, ,0.0,0.0,0.0, , , , , , , , , ,8.4, ,
Nickels_Soils_Lab.P,20160229,2400,1440,72,14:17,43,05:09, ,57, , , , , , , , , , , , ,91, ,25, ,64, , , , , , , , , , , , , , , , ,0.00,0.11,395, , , ,340,13,09:48, , , , , , , ,43, ,0.0,0.0,0.0, , , , , , , , , ,9.1, ,
Nickels_Soils_Lab.P,20160301,2400,1440,74,14:39,44,07:02, ,59, , , , , , , , , , , , ,88, ,19, ,63, , , , , , , , , , , , , , , , ,0.00,0.13,395, , , ,168,16,12:06, , , , , , , ,45, ,0.0,0.0,0.0, , , , , , , , , ,9.7, ,
Nickels_Soils_Lab.P,20160302,2400,1440,71,15:43,51,03:58, ,60, , , , , , , , , , , , ,89, ,48, ,68, , , , , , , , , , , , , , , , ,0.00,0.11,356, , , ,227,22,20:38, , , , , , , ,49, ,0.0,0.0,0.0, , , , , , , , , ,9.5, ,
Nickels_Soils_Lab.P,20160303,2400,1440,63,15:09,50,22:36, ,56, , , , , , , , , , , , ,93, ,73, ,86, , , , , , , , , , , , , , , , ,0.06,0.05,162, , , ,114,19,00:23, , , , , , , ,52, ,0.0,0.0,0.0, , , , , , , , , ,9.0, ,
Nickels_Soils_Lab.P,20160304,2400,1440,63,15:08,52,02:33, ,58, , , , , , , , , , , , ,94, ,84, ,91, , , , , , , , , , , , , , , , ,0.13,0.04,121, , , ,170,16,23:44, , , , , , , ,55, ,0.0,0.0,0.0, , , , , , , , , ,7.8, ,
Nickels_Soils_Lab.P,20160305,2400,1440,61,15:15,52,22:13, ,58, , , , , , , , , , , , ,92, ,76, ,89, , , , , , , , , , , , , , , , ,1.30,0.04, , , , ,146,43,18:04, , , , , , , ,55, ,0.0,0.0,0.0, , , , , , , , , ,1.8, ,
Nickels_Soils_Lab.P,20160306,2400,1440,59,12:12,45,06:53, ,51, , , , , , , , , , , , ,90, ,49, ,73, , , , , , , , , , , , , , , , ,0.10,0.08,221, , , ,148,28,21:36, , , , , , , ,43, ,0.0,0.0,0.0, , , , , , , , , ,5.3, ,
Nickels_Soils_Lab.P,20160307,2400,1440,58,16:45,41,23:59, ,49, , , , , , , , , , , , ,92, ,56, ,79, , , , , , , , , , , , , , , , ,0.33,0.07,284, , , ,348,27,11:25, , , , , , , ,42, ,0.0,0.0,0.0, , , , , , , , , ,3.4, ,
Nickels_Soils_Lab.P,20160308,2400,1440,56,13:32,36,06:32, ,48, , , , , , , , , , , , ,91, ,45, ,71, , , , , , , , , , , , , , , , ,0.00,0.06,228, , , ,184,14,13:31, , , , , , , ,39, ,0.0,0.0,0.0, , , , , , , , , ,4.1, ,
Nickels_Soils_Lab.P,20160309,2400,1440,59,16:06,46,01:25, ,52, , , , , , , , , , , , ,93, ,78, ,88, , , , , , , , , , , , , , , , ,0.07,0.05,182, , , ,186,18,13:44, , , , , , , ,49, ,0.0,0.0,0.0, , , , , , , , , ,4.5, ,
Nickels_Soils_Lab.P,20160310,2400,1440,59,03:27,52,20:11, ,56, , , , , , , , , , , , ,94, ,66, ,87, , , , , , , , , , , , , , , , ,1.00,0.04, , , , ,133,21,16:16, , , , , , , ,52, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160311,2400,1440,58,15:07,45,23:59, ,52, , , , , , , , , , , , ,94, ,59, ,88, , , , , , , , , , , , , , , , ,0.52,0.04,140, , , ,134,26,13:05, , , , , , , ,48, ,0.0,0.0,0.0, , , , , , , , , ,1.3, ,
Nickels_Soils_Lab.P,20160312,2400,1440,54,16:26,45,00:13, ,50, , , , , , , , , , , , ,93, ,76, ,87, , , , , , , , , , , , , , , , ,0.21,0.04,142, , , ,164,31,08:56, , , , , , , ,46, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160313,2400,1440,57,18:37,51,08:46, ,54, , , , , , , , , , , , ,93, ,71, ,88, , , , , , , , , , , , , , , , ,0.28,0.04,137, , , ,135,29,11:46, , , , , , , ,50, ,0.0,0.0,0.0, , , , , , , , , ,2.2, ,
Nickels_Soils_Lab.P,20160314,2400,1440,64,17:52,44,23:56, ,54, , , , , , , , , , , , ,88, ,34, ,64, , , , , , , , , , , , , , , , ,0.00,0.12,406, , , ,257,20,07:55, , , , , , , ,41, ,0.0,0.0,0.0, , , , , , , , , ,8.4, ,
Nickels_Soils_Lab.P,20160315,2400,1440,67,17:26,39,06:33, ,52, , , , , , , , , , , , ,90, ,26, ,65, , , , , , , , , , , , , , , , ,0.00,0.14,502, , , ,338,12,09:27, , , , , , , ,39, ,0.0,0.0,0.0, , , , , , , , , ,8.8, ,
Nickels_Soils_Lab.P,20160316,2400,1440,75,18:28,46,03:00, ,59, , , , , , , , , , , , ,89, ,34, ,59, , , , , , , , , , , , , , , , ,0.00,0.16,501, , , ,324,18,12:22, , , , , , , ,44, ,0.0,0.0,0.0, , , , , , , , , ,10.4, ,
Nickels_Soils_Lab.P,20160317,2400,1440,79,18:32,48,00:22, ,61, , , , , , , , , , , , ,90, ,29, ,63, , , , , , , , , , , , , , , , ,0.00,0.16,516, , , ,336,16,10:02, , , , , , , ,47, ,0.0,0.0,0.0, , , , , , , , , ,10.4, ,
Nickels_Soils_Lab.P,20160318,2400,1440,73,16:34,46,06:18, ,59, , , , , , , , , , , , ,92, ,48, ,75, , , , , , , , , , , , , , , , ,0.00,0.14,502, , , ,142,12,17:39, , , , , , , ,51, ,0.0,0.0,0.0, , , , , , , , , ,10.4, ,
Nickels_Soils_Lab.P,20160319,2400,1440,72,16:16,47,04:33, ,58, , , , , , , , , , , , ,93, ,55, ,79, , , , , , , , , , , , , , , , ,0.00,0.12,437, , , ,136,14,15:51, , , , , , , ,51, ,0.0,0.0,0.0, , , , , , , , , ,8.3, ,
Nickels_Soils_Lab.P,20160320,2400,1440,65,16:08,49,03:43, ,56, , , , , , , , , , , , ,91, ,63, ,79, , , , , , , , , , , , , , , , ,0.12,0.07,251, , , ,230,21,19:40, , , , , , , ,50, ,0.0,0.0,0.0, , , , , , , , , ,7.1, ,
Nickels_Soils_Lab.P,20160321,2400,1440,61,14:30,46,23:23, ,52, , , , , , , , , , , , ,88, ,50, ,77, , , , , , , , , , , , , , , , ,0.15,0.08,310, , , ,221,28,15:49, , , , , , , ,45, ,0.0,0.0,0.0, , , , , , , , , ,3.2, ,
Nickels_Soils_Lab.P,20160322,2400,1440,64,16:42,40,07:07, ,53, , , , , , , , , , , , ,88, ,34, ,63, , , , , , , , , , , , , , , , ,0.00,0.14,541, , , ,233,20,01:58, , , , , , , ,39, ,0.0,0.0,0.0, , , , , , , , , ,9.3, ,
Nickels_Soils_Lab.P,20160323,2400,1440,70,16:16,41,06:55, ,55, , , , , , , , , , , , ,89, ,29, ,67, , , , , , , , , , , , , , , , ,0.00,0.14,510, , , ,341,15,10:23, , , , , , , ,42, ,0.0,0.0,0.0, , , , , , , , , ,9.3, ,
Nickels_Soils_Lab.P,20160324,2400,1440,71,16:57,44,05:48, ,57, , , , , , , , , , , , ,91, ,34, ,70, , , , , , , , , , , , , , , , ,0.00,0.14,501, , , ,66,9,15:05, , , , , , , ,46, ,0.0,0.0,0.0, , , , , , , , , ,9.8, ,
Nickels_Soils_Lab.P,20160325,2400,1440,75,16:44,48,07:22, ,60, , , , , , , , , , , , ,90, ,18, ,60, , , , , , , , , , , , , , , , ,0.00,0.17,541, , , ,352,14,13:21, , , , , , , ,43, ,0.0,0.0,0.0, , , , , , , , , ,10.4, ,
Nickels_Soils_Lab.P,20160326,2400,1440,78,16:21,52,04:24, ,63, , , , , , , , , , , , ,81, ,24, ,45, , , , , , , , , , , , , , , , ,0.00,0.18,511, , , ,328,24,06:38, , , , , , , ,40, ,0.0,0.0,0.0, , , , , , , , , ,11.0, ,
Nickels_Soils_Lab.P,20160327,2400,1440,69,16:43,49,03:58, ,59, , , , , , , , , , , , ,93, ,51, ,75, , , , , , , , , , , , , , , , ,0.00,0.12,453, , , ,253,12,23:41, , , , , , , ,50, ,0.0,0.0,0.0, , , , , , , , , ,10.9, ,
Nickels_Soils_Lab.P,20160328,2400,1440,63,14:32,41,04:27, ,53, , , , , , , , , , , , ,86, ,22, ,42, , , , , , , , , , , , , , , , ,0.00,0.18,527, , , ,313,34,11:01, , , , , , , ,29, ,0.0,0.0,0.0, , , , , , , , , ,6.3, ,
Nickels_Soils_Lab.P,20160329,2400,1440,69,17:48,43,05:41, ,55, , , , , , , , , , , , ,70, ,17, ,41, , , , , , , , , , , , , , , , ,0.00,0.18,577, , , ,343,22,10:56, , , , , , , ,30, ,0.0,0.0,0.0, , , , , , , , , ,8.8, ,
Nickels_Soils_Lab.P,20160330,2400,1440,75,17:58,38,06:45, ,56, , , , , , , , , , , , ,89, ,20, ,55, , , , , , , , , , , , , , , , ,0.00,0.16,568, , , ,22,13,02:10, , , , , , , ,38, ,0.0,0.0,0.0, , , , , , , , , ,9.6, ,
